                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.93156,                0.84509,                 1.1147,                 0.9899,                0.98311,                0.99451,                0.79676,                0.82838,                0.74336,                  1.012,             0.00027575,             0.00027575,             0.00027575
                     65,                 0.9307,                0.86349,                 1.1194,                0.99362,                0.98037,                0.99371,                0.79741,                0.83562,                0.73367,                 1.0067,             0.00026868,             0.00026868,             0.00026868
                     66,                  0.905,                 0.8332,                 1.1064,                0.99307,                0.97698,                 0.9929,                0.81719,                 0.8167,                0.72907,                 1.0155,             0.00026161,             0.00026161,             0.00026161
                     67,                 0.8957,                 0.8083,                 1.0987,                0.99378,                 0.9846,                0.99451,                0.81838,                0.80941,                0.71743,                 1.0115,             0.00025454,             0.00025454,             0.00025454
                     68,                0.91032,                0.83944,                 1.0997,                 0.9945,                 0.9884,                 0.9947,                0.81761,                 0.8091,                0.70626,                      1,             0.00024747,             0.00024747,             0.00024747
                     69,                0.94488,                0.85267,                 1.1119,                0.98859,                0.99199,                0.99479,                0.80809,                0.82645,                0.71014,                0.99293,              0.0002404,              0.0002404,              0.0002404
                     70,                0.89776,                0.81725,                 1.0915,                0.98952,                0.99316,                0.99479,                0.80275,                0.82182,                0.71746,                0.98974,             0.00023334,             0.00023334,             0.00023334
                     71,                 0.9013,                0.80189,                 1.1036,                0.99308,                0.99042,                0.99479,                0.80401,                0.81869,                0.72619,                0.99399,             0.00022627,             0.00022627,             0.00022627
                     72,                0.89375,                0.79785,                 1.0924,                0.99234,                0.99066,                 0.9947,                0.81549,                0.78242,                0.72205,                0.98794,              0.0002192,              0.0002192,              0.0002192
                     73,                0.91441,                0.80851,                 1.0944,                0.99204,                0.97464,                0.99316,                 0.8189,                0.77648,                0.74053,                0.99655,             0.00021213,             0.00021213,             0.00021213
                     74,                0.89193,                0.79604,                 1.0868,                0.99528,                 0.9684,                0.98985,                0.81185,                0.79303,                0.75644,                 0.9892,             0.00020506,             0.00020506,             0.00020506
                     75,                0.92167,                0.82777,                 1.1055,                0.99473,                0.97089,                0.99139,                0.79788,                0.81708,                0.75429,                 0.9915,             0.00019799,             0.00019799,             0.00019799
                     76,                0.88511,                0.81028,                 1.0926,                0.99491,                0.97585,                0.99308,                0.80733,                0.80843,                0.73641,                0.99172,             0.00019092,             0.00019092,             0.00019092
                     77,                0.89426,                0.79295,                 1.0829,                0.99583,                0.97867,                0.99396,                 0.8222,                0.77784,                0.72487,                0.99569,             0.00018385,             0.00018385,             0.00018385
                     78,                0.90465,                0.79493,                 1.0907,                0.98874,                0.98333,                0.99419,                0.82371,                0.76919,                0.72028,                0.99352,             0.00017679,             0.00017679,             0.00017679
                     79,                0.89417,                 0.8242,                 1.1047,                0.99283,                0.98172,                0.99431,                0.82282,                0.77416,                0.72481,                0.99102,             0.00016972,             0.00016972,             0.00016972
                     80,                0.86583,                0.79398,                 1.0796,                0.99503,                0.98027,                0.99441,                0.82056,                0.79947,                 0.7186,                0.99603,             0.00016265,             0.00016265,             0.00016265
                     81,                  0.901,                0.80963,                  1.096,                0.99323,                0.98216,                0.99451,                0.79103,                0.85003,                0.72618,                 1.0008,             0.00015558,             0.00015558,             0.00015558
                     82,                0.85953,                0.78121,                 1.0809,                0.99216,                0.97983,                0.99411,                0.79505,                0.82022,                0.72802,                0.99428,             0.00014851,             0.00014851,             0.00014851
